ID_NAME_PAIR,NUM_REGISTERED_VOTERS
"('10095', 'LEE TWP')",29
"('270577', 'CRYSTAL W-3 P-03')",393
"('650155', 'RENVILLE')",636
"('30005', 'ATLANTA TWP')",64
"('90090', 'KALEVALA TWP')",184
"('560225', 'GIRARD TWP')",556
"('340205', 'WILLMAR W-3 P-1')",1024
"('620335', 'NEW BRIGHTON P-2')",1127
"('620440', 'ROSEVILLE P-02')",978
"('210095', 'KENSINGTON')",187
"('820290', 'ST. PAUL PARK P-2')",167
"('820415', 'WOODBURY P-09A')",4217
"('820330', 'STILLWATER W-3 P-5')",3168
"('350110', 'NORTH RED RIVER')",0
"('90045', 'CLOQUET W-2')",1195
